Unnamed: 0,sentence,id,phrase,sentiment,fine,coarse,Predicted_Label,Flag
708,Much of the movie's charm lies in the utter cuteness of Stuart and Margolo .,225061.0,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,0.73611,positive,positive,very positive,0
709,Their computer-animated faces are very expressive .,226551.0,Their computer-animated faces are very expressive .,0.72222,positive,positive,negative,0
710,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie's release .",226410.0,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",0.54167,neutral,neutral,negative,0
747,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",221838.0,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",0.68056,positive,positive,negative,0
754,"Much of it comes from the brave , uninhibited performances by its lead actors .",225056.0,"Much of it comes from the brave , uninhibited performances by its lead actors .",0.8333299999999999,very positive,positive,positive,0
845,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",227404.0,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",0.40278,neutral,neutral,neutral,1
898,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,227419.0,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,0.65278,positive,positive,positive,1
899,"If Mr. Zhang's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",223903.0,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",0.52778,neutral,neutral,positive,0
901,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's ... The film's ending has a `` What was it all for ? '',221789.0,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0.16667,very negative,negative,negative,0
902,"feeling to it , but like the 1920's , the trip there is a great deal of fun .",230759.0,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",0.77778,positive,positive,positive,1
1117,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',227459.0,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',0.61111,positive,positive,neutral,0
1158,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,224693.0,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,0.375,negative,negative,positive,0
1159,"But believe it or not , it's one of the most beautiful , evocative works I've seen .",222734.0,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",0.94444,very positive,positive,positive,0
1220,"Garcia Bernal and Talancon are an immensely appealing couple , and even though their story is predictable , you'll want things to work out .",223468.0,"Garcia Bernal and Talancon are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",0.75,positive,positive,very positive,0
1246,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",221790.0,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",0.86111,very positive,positive,positive,0
1261,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",221054.0,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",0.63889,positive,positive,negative,0
1279,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,226542.0,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,0.88889,very positive,positive,positive,0
1487,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",227490.0,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",0.80556,very positive,positive,neutral,0
1494,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",223413.0,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",0.8333299999999999,very positive,positive,positive,0
1593,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",224276.0,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",0.81944,very positive,positive,positive,0
1676,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",44339.0,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",0.66667,positive,positive,positive,1
1677,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,221971.0,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,0.77778,positive,positive,positive,1
1678,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,45790.0,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,0.65278,positive,positive,positive,1
1679,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",46441.0,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",0.45833,neutral,neutral,very positive,0
1680,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",222320.0,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",0.75,positive,positive,positive,1
1681,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',43432.0,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',0.77778,positive,positive,positive,1
1682,"A smart , steamy mix of road movie , coming-of-age story and political satire .",44255.0,"A smart , steamy mix of road movie , coming-of-age story and political satire .",0.66667,positive,positive,positive,1
1683,The modern-day royals have nothing on these guys when it comes to scandals .,47158.0,The modern-day royals have nothing on these guys when it comes to scandals .,0.38889,negative,negative,negative,1
1684,It's only in fairy tales that princesses that are married for political reason live happily ever after .,45749.0,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,0.36111,negative,negative,negative,1
1685,"A terrific B movie -- in fact , the best in recent memory .",44303.0,"A terrific B movie -- in fact , the best in recent memory .",1.0,very positive,positive,very positive,1
1686,`` Birthday Girl '' is an actor's movie first and foremost .,227443.0,`` Birthday Girl '' is an actor 's movie first and foremost .,0.70833,positive,positive,positive,1
1687,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,223863.0,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,0.875,very positive,positive,very positive,1
1688,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it's like dying and going to celluloid heaven .",45277.0,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",0.90278,very positive,positive,positive,0
1689,What's really so appealing about the characters is their resemblance to everyday children .,47582.0,What 's really so appealing about the characters is their resemblance to everyday children .,0.70833,positive,positive,positive,1
1690,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer's energy and the silliness of it all eventually prevail",46723.0,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",0.54167,neutral,neutral,positive,0
1691,An absurdist spider web .,44456.0,An absurdist spider web .,0.36111,negative,negative,positive,0
1692,"If you're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you're at the right film .",45621.0,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",0.63889,positive,positive,positive,1
1693,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true , lived experience .",47405.0,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",0.55556,neutral,neutral,positive,0
1694,Some movies blend together as they become distant memories .,225872.0,Some movies blend together as they become distant memories .,0.44444,neutral,neutral,negative,0
1695,Mention `` Solaris '' five years from now and I'm sure those who saw it will have an opinion to share .,224781.0,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,0.66667,positive,positive,positive,1
1696,Allen's funniest and most likeable movie in years .,44403.0,Allen 's funniest and most likeable movie in years .,0.875,very positive,positive,positive,0
1697,It's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,224123.0,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,0.80556,very positive,positive,positive,0
1698,This comic gem is as delightful as it is derivative .,47350.0,This comic gem is as delightful as it is derivative .,0.81944,very positive,positive,positive,0
1699,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",46220.0,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",0.81944,very positive,positive,positive,0
1700,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",47140.0,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",0.625,positive,positive,positive,1
1701,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",47664.0,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",0.45833,neutral,neutral,positive,0
1702,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",47226.0,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",0.8333299999999999,very positive,positive,positive,0
1703,Certainly the performances are worthwhile .,44870.0,Certainly the performances are worthwhile .,0.72222,positive,positive,positive,1
1704,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",47646.0,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",0.68056,positive,positive,very positive,0
1705,Watching these eccentrics is both inspiring and pure joy .,47567.0,Watching these eccentrics is both inspiring and pure joy .,0.8472200000000001,very positive,positive,negative,0
1706,Steven Spielberg brings us another masterpiece,46812.0,Steven Spielberg brings us another masterpiece,0.98611,very positive,positive,positive,0
1707,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",223369.0,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",0.73611,positive,positive,positive,1
1708,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",225043.0,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",0.80556,very positive,positive,positive,0
1709,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,44406.0,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,0.76389,positive,positive,positive,1
1710,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",44104.0,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",0.79167,positive,positive,positive,1
1711,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",44820.0,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",0.23611,negative,negative,negative,1
1712,I encourage young and old alike to go see this unique and entertaining twist on the classic whale's tale -- you won't be sorry !,45569.0,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,0.875,very positive,positive,positive,0
1713,A literary detective story is still a detective story and aficionados of the whodunit won't be disappointed .,44149.0,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,0.69444,positive,positive,positive,1
1714,High Crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience .,45490.0,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,0.61111,positive,positive,positive,1
1715,If you're a fan of the series you'll love it and probably want to see it twice .,45618.0,If you 're a fan of the series you 'll love it and probably want to see it twice .,0.91667,very positive,positive,positive,0
1716,I will be .,45597.0,I will be .,0.625,positive,positive,neutral,0
1717,"It celebrates the group's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",45774.0,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",0.72222,positive,positive,positive,1
1718,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",226490.0,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",0.80556,very positive,positive,positive,0
1719,It is also a testament to the integrity and vision of the band .,45807.0,It is also a testament to the integrity and vision of the band .,0.75,positive,positive,positive,1
1720,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",45974.0,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",0.86111,very positive,positive,positive,0
1721,"Huppert's show to steal and she makes a meal of it , channeling Kathy Baker's creepy turn as the repressed mother on Boston Public just as much as 8 Women's Augustine .",45540.0,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",0.61111,positive,positive,positive,1
1722,Nair doesn't treat the issues lightly .,46298.0,Nair does n't treat the issues lightly .,0.61111,positive,positive,negative,0
1723,She allows each character to confront their problems openly and honestly .,46728.0,She allows each character to confront their problems openly and honestly .,0.72222,positive,positive,positive,1
1724,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",46421.0,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",0.88889,very positive,positive,very positive,1
1725,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,226549.0,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,0.77778,positive,positive,positive,1
1726,Strange occurrences build in the mind of the viewer and take on extreme urgency .,225980.0,Strange occurrences build in the mind of the viewer and take on extreme urgency .,0.72222,positive,positive,positive,1
1727,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",45448.0,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",0.68056,positive,positive,positive,1
1728,Familiar but utterly delightful .,45212.0,Familiar but utterly delightful .,0.63889,positive,positive,negative,0
1729,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",44066.0,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",0.76389,positive,positive,very positive,0
1730,"The film aims to be funny , uplifting and moving , sometimes all at once .",226262.0,"The film aims to be funny , uplifting and moving , sometimes all at once .",0.69444,positive,positive,very positive,0
1731,The extent to which it succeeds is impressive .,226241.0,The extent to which it succeeds is impressive .,0.77778,positive,positive,negative,0
1732,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",47052.0,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",0.91667,very positive,positive,negative,0
1733,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",47626.0,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",0.70833,positive,positive,negative,0
1734,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",44579.0,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",0.79167,positive,positive,positive,1
1735,"In addition to Hoffman's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",45653.0,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",0.88889,very positive,positive,positive,0
1736,Jeffrey Tambor's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,45888.0,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,1.0,very positive,positive,positive,0
1737,"From the opening strains of the Average White Band's `` Pick up the Pieces '' , you can feel the love .",223437.0,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",0.66667,positive,positive,positive,1
1738,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,46815.0,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,0.73611,positive,positive,positive,1
1739,that it'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,57814.0,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,0.66667,positive,positive,positive,1
1740,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",46388.0,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",0.51389,neutral,neutral,positive,0
1741,Meyjes ' provocative film might be called an example of the haphazardness of evil .,46169.0,Meyjes ' provocative film might be called an example of the haphazardness of evil .,0.66667,positive,positive,positive,1
1742,Tian emphasizes the isolation of these characters by confining color to Liyan's backyard .,47429.0,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,0.55556,neutral,neutral,negative,0
1743,The movie is pretty funny now and then without in any way demeaning its subjects .,47178.0,The movie is pretty funny now and then without in any way demeaning its subjects .,0.76389,positive,positive,very positive,0
1744,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson's Far Side humor,52834.0,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,0.61111,positive,positive,negative,0
1745,"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",47450.0,"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",0.76389,positive,positive,positive,1
1746,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",45816.0,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",0.91667,very positive,positive,positive,0
1747,It's not a great monster movie .,45744.0,It 's not a great monster movie .,0.23611,negative,negative,negative,1
1748,"But if you've paid a matinee price and bought a big tub of popcorn , there's guilty fun to be had here .",222753.0,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",0.47222,neutral,neutral,positive,0
1749,Chomp chomp !,222929.0,Chomp chomp !,0.5,neutral,neutral,negative,0
1750,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,226114.0,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,0.58333,neutral,neutral,neutral,1
1751,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison's iconoclastic uses of technology to be liberating .",46460.0,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",0.8333299999999999,very positive,positive,positive,0
1752,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",46186.0,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",0.70833,positive,positive,neutral,0
1753,Time Out is existential drama without any of the pretension associated with the term .,47430.0,Time Out is existential drama without any of the pretension associated with the term .,0.69444,positive,positive,positive,1
1754,"It's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",45726.0,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",0.70833,positive,positive,positive,1
